facility_code,facility_label,facility_category,latitude,longitude,district,province,country,data_use
BMU_01,BMU Facility 01,BMU,26.899359,68.092058,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_02,BMU Facility 02,BMU,26.877171,68.116584,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_03,BMU Facility 03,BMU,26.667596,68.001309,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_04,BMU Facility 04,BMU,27.054182,68.213573,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_05,BMU Facility 05,BMU,26.778046,68.302095,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_06,BMU Facility 06,BMU,26.86792,67.986015,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_07,BMU Facility 07,BMU,26.680358,68.282262,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_08,BMU Facility 08,BMU,26.596311,68.128977,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_09,BMU Facility 09,BMU,26.793518,68.005961,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_10,BMU Facility 10,BMU,26.907351,68.195558,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_11,BMU Facility 11,BMU,26.94421,68.122167,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_12,BMU Facility 12,BMU,27.116872,68.138964,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_13,BMU Facility 13,BMU,27.011727,68.128231,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_14,BMU Facility 14,BMU,27.11413,68.418444,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_15,BMU Facility 15,BMU,27.086349,68.321914,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_16,BMU Facility 16,BMU,26.747932,68.164188,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_17,BMU Facility 17,BMU,26.960395,68.181487,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_18,BMU Facility 18,BMU,26.78671,68.131147,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_19,BMU Facility 19,BMU,26.787105,67.938207,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_20,BMU Facility 20,BMU,27.147017,68.221378,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
BMU_21,BMU Facility 21,BMU,27.098725,68.342125,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_01,LAB Facility 01,LAB,26.899359,68.092058,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
LAB_02,LAB Facility 02,LAB,26.877171,68.116584,Naushahro Feroze,Sindh,Pakistan,Anonymized portfolio demonstration dataset
